ima_method_id,ima_method_revision_id,ima_method_assembly_id,ima_level,ima_part_id,ima_part_revision_id,ima_unit_of_measure,ima_part_short_description,ima_part_long_description_text,ima_use_method,ima_source_method_id,ima_source_revision_id,ima_production_notes_text,ima_quantity_per_parent,ima_pull_all_from_stock,ima_documents,ima_created_by,ima_created_date
D002-2455,0,0,1,D002-2455,0,EA,DP Side Kick,,FALSE,,,,1,FALSE,,,
D017-0072,0,0,1,D017-0072,0,EA,Perforated SS 304 pan,,FALSE,,,,1,FALSE,12376,,
A014-0936,0,0,1,A014-0936,0,EA,79807-MS-001 -PROTOTYPE/MAX MOODY,,FALSE,,,,1,FALSE,15443,,
S038-0388,0,0,1,S038-0388,0,EA,"PSCLIP3-4  PALLET STOP CLIP 3/4"" OFFSET",,FALSE,,,,1,FALSE,5851,,
R024-0016,0,0,1,R024-0016,0,EA,5' PLATFORM RUNNER RH,,FALSE,,,,1,FALSE,8056,,
M040-0269,0,0,1,M040-0269,0,EA,OUTSOURCE DETAIL 16 23701,,FALSE,,,,1,FALSE,16106,,
M040-0268,0,0,1,M040-0268,0,EA,OUTSOURCE DETAIL 15 23701,,FALSE,,,,1,FALSE,16105,,
S046-0390,0,0,1,S046-0390,0,EA,"140-007 SUBPANEL, ES-P3024-C - 12GA 28.2 X 22.2",,FALSE,,,,1,FALSE,15589,,
S039-1157,0,0,1,S039-1157,0,EA,22003-141115A-OS,,FALSE,,,,1,FALSE,15824,,
Y002-0572,0,0,1,Y002-0572,0,EA,YT442132B-AO DRIVE CHANNEL SHIM,,FALSE,,,,1,FALSE,6023,,
Y002-0556,0,0,1,Y002-0556,0,EA,YT441327B-AO 3.00 RAD BASE BRACKET ASW 14.37 2169,,FALSE,,,,1,FALSE,5983,,
T034-0032,0,0,1,T034-0032,0,EA,RIETER SPLASH PAD,,FALSE,,,,1,FALSE,17076,,
A050-0034,0,0,1,A050-0034,0,EA,"V2912 POST CONTAINER BODY DOOR 107""",,FALSE,,,,1,FALSE,16913,,
C040-0050,0,0,1,C040-0050,0,EA,"HANGER BRACKET2 - 3/16"" HRPO",,FALSE,,,,1,FALSE,16895,,
R024-0015,0,0,1,R024-0015,0,EA,5' PLATFORM RUNNER LH,,FALSE,,,,1,FALSE,8057,,
M030-0279,0,0,1,M030-0279,0,EA,188007201 ANG WLDMT OB LH,,FALSE,,,,1,FALSE,4880,,
W006-0002,0,0,1,W006-0002,0,EA,Z-RODRAK-14-5 TIG ROD RACK 3L,,FALSE,,,,1,FALSE,8361,,
M026-0643,0,0,1,M026-0643,0,EA,3/8X.5X5.25,,FALSE,,,,1,FALSE,16669,,
M026-0644,0,0,1,M026-0644,0,EA,3/8X6.625X5.875,,FALSE,,,,1,FALSE,16670,,
S038-0389,0,0,1,S038-0389,0,EA,"ACPF3008 3"" 7GA COL PROT-FRMED-8""",,FALSE,,,,1,FALSE,8992,,
K016-0727,0,0,1,K016-0727,0,EA,TROLLEY MOUNTING PLATE MASTER MOVER,,FALSE,,,,1,FALSE,16726,,
K016-0728,0,0,1,K016-0728,0,EA,MASTER MOVER BASE PLATE,,FALSE,,,,1,FALSE,16727,,
S038-0478,0,0,1,S038-0478,0,EA,S.6-02.75X009.38-IBC,,FALSE,,,,1,FALSE,5911,,
K007-0077,0,0,1,K007-0077,0,EA,"H3030KT12G - SQ WASHER, 1/2'', 1 HOLE 9/16''",,FALSE,,,,1,FALSE,5101,,
A029-0044,0,0,1,A029-0044,0,EA,CN-SR-01 SERPENTINE ATTACH CLIP FAB .813 X .813,,FALSE,,,,1,FALSE,8001,,
M030-0342,0,0,1,M030-0342,0,EA,177005411 *CUST SUPPLIED MAT. .100 59X96 ALUM*,,FALSE,,,,1,FALSE,5872,,
A045-0009,0,0,1,A045-0009,0,EA,"MS-303 SSSP 5/8"" HEX NUT",,FALSE,,,,1,FALSE,,,
L005-0494,0,0,1,L005-0494,0,EA,18DA00001A DIVERTER UPRIGHT,,FALSE,,,,1,FALSE,5534,,
L005-0498,0,0,1,L005-0498,0,EA,18DA10002A DIVERTER BRIDGE T750,,FALSE,,,,1,FALSE,8932,,
T049-0002,0,0,1,T049-0002,0,EA,5FT CHANNEL,,FALSE,,,,1,FALSE,13238,,
L005-0499,0,0,1,L005-0499,0,EA,18DA20002A DIVERTER BRIDGE T500,,FALSE,,,,1,FALSE,10851,,
T049-0003,0,0,1,T049-0003,0,EA,8FT OVEN RACK,,FALSE,,,,1,FALSE,13239,,
P013-0285,0,0,1,P013-0285,0,EA,SMALL HALF SUPPORT PL HEAVY DUTY,,FALSE,,,,1,FALSE,5191,,
M030-0280,0,0,1,M030-0280,0,EA,188007202 ANG WLDMT OB RH,,FALSE,,,,1,FALSE,5174,,
HANDLE-SAKAI-HOOD-S025-0508,0,0,1,HANDLE-SAKAI-HOOD-S025-0508,0,EA,BENT TUBE HANDLE FOR 1418-61455-2 - DETAIL P-1,,FALSE,,,,1,FALSE,,,
H030-0044,0,0,1,H030-0044,0,EA,900-1621,,FALSE,,,,1,FALSE,15334,,
A029-0218,0,0,1,A029-0218,0,EA,70500175AC BRACKET FIXED PLATED AC,,FALSE,,,,1,FALSE,13255,,
L005-0508,0,0,1,L005-0508,0,EA,15I A 300 04C FLOOR SUPPORT BRACE T350,,FALSE,,,,1,FALSE,14992,,
D002-2449,0,0,1,D002-2449,0,EA,DP Stepped Front�,,FALSE,,,,1,FALSE,,,
D002-2450,0,0,1,D002-2450,0,EA,"DP End, Left, Power Pole",,FALSE,,,,1,FALSE,,,
D002-2451,0,0,1,D002-2451,0,EA,"DP End, Right, Power Pole�",,FALSE,,,,1,FALSE,,,
D002-2452,0,0,1,D002-2452,0,EA,DP Double Front�,,FALSE,,,,1,FALSE,,,
S038-0412,0,0,1,S038-0412,0,EA,"ACPF4012 4"" 7 GA COL PROMT-FRMD-12""",,FALSE,,,,1,FALSE,8202,,
M026-0471,0,0,1,M026-0471,0,EA,N2933000 4502-9330-00S3 FEED WATER PIPE,,FALSE,,,,1,FALSE,6239,,
M030-0341,0,0,1,M030-0341,0,EA,177005412 *CUST SUPPLIED MAT. .100 59X96 ALUM*,,FALSE,,,,1,FALSE,5871,,
H005-0081,0,0,1,H005-0081,0,EA,3'' OD X 1.375''ID X .75'' THICK,,FALSE,,,,1,FALSE,12323,,
